,predicted,review
187,bad, I was charged twice once on my credit card and again in cash on the day I was told my card would be refunded still waiting Wont use Hotel or booking com againNo Positive
188,bad, Everything Nothing
189,bad, The room was too small the cleaning was not done properly the mattress was horrible there was no fridge bathroom seat was broken and what a miserable elevator No Positive
190,bad, Poor bad place Nothing
191,bad, Everything needs to be renew Staff unfriendly Durty Phone did not work Reception at arrival awfull Only the location 
192,bad, our shower was leaking after report a problem reception send a maintenance who didn t fixed the problem it was still this same when i wanted to change a room i hear that they are totally full booked and they cannot do anything so i asked about new extra towels coz all of ours was on a floor to try keep it dry after all when i was going to check us out receptionist was extremely rude she even didn t say for us goodbye i do not recommend to stay in this hotel  nice and friendly stuff on a breakfast 
193,bad, Very disappointed with everything Definitely not worth a 4 hotelNo Positive
194,neutral, The hotel d cor is old and tired and could do with refurbishing The place is not the cleanest The price seems a little steep for what is on offer Would not recommend if you are looking for a quiet place as many of the guests seem oblivious of others and go about noisily in the corridors late at night or slam doors No Positive
195,neutral, Far from metro M5 at the edge of town bus 80 from Quinta Romano everything with charge and expensive breakfast is not diversified and poor in vegetables the personnel has a voice on tourists quickly cleans the table even if you have not finished eating 4 star comfort is not like in other countries From Malpensa airport express bus stops at Fiera Milano City Viale Teodorico near the subway station Portello violet M5 line take it to San Siro Stadio No Positive
196,bad, Unhelpful staff and Manager No room service availability unmanned reception telephone Location was good 
197,bad, accomadation Staff Service Poor quality of room None claustrophobic room Poor service at breakfast
198,bad, Location miles from airport ld never have found it without satnav Rooms very dated and sad  Large rooms
199,bad, location is not as good as perceived Staff are rude  i thought it was good price but it wasnt
200,bad, Staff are very rude Issued the wrong from firstly I had requested a superior double room and was issued a small twin room I contacted reception who was rude they then moved me to a double room Which again was not a superior size as I had previously stayed at this hotel 3 weeks prior and was given a SUPERIOR room This stay was for two nights and the room was extremely smaller The staff response was we are fully booked Which was not the correct response I was looking for as this added to my doubt that I was in a smaller room then I had paid booked After being told by the receptionist we could use a specific door to exit into the gardens to smoke we was rudely told by another member of staff that we could not That the receptionist was wrong or she had not told us that we could use such door and we need to go to the front of the building Considering we are on the 3rd floor this is an extremely long walk No Positive
201,bad, over all standards of 5 starts hotels loction
202,bad, No bar no restaurant very poor only one person reception no a 4 starNo Positive
203,good, Breskfast location towels nd size of the room Crossants were tiny too  Butter jam and shampoo
204,bad, My phone went missing from my room whilst on charge And when I asked the staff about it the pretty much refused responsibility for it Location was ok
205,bad, Worst stay in Vienna ever No Positive
206,bad, Everything else  Location only 
207,bad, This hotel is rated at 4 star it deserves only at 2 3 star It s an old building with old design and old furniture even an old safe which requires EUR25 for a key deposit No fridge and no coffee maker only 1 staff working at front desk no restaurant poor breakfast menu which costs extra We booked this hotel because we trust the rating on Booking com the rating is flawed and the rate is a rip off I will report to appropriate travelling agency about this flawed rating which lures unsuspecting travellers to this facility We come expecting a 4 star hotel and left totally disappointed  Except for the location nothing else 
208,good, Air condotion very low and Wifi dosnt work perfectly breacfast was good
209,bad,No Negative Nothing
210,bad, The Internet was not working in the room There was no way to regulate the heating It took us 1 hour to check in There was one staff on reception dealing with a big group and wait of an hour that we could have used for sight seeing The phone to the reception did not work so we had to go down everytime we had a problem We were told to try the internet every few mins which didnt work and each time to report it it was a trip down to reception We stayed 3 nights and each day the staff promised it would be fixed but no one did anything We had booked it non refundable otherwise we would have moved hotels Could do without the hassle when travelling and planning our trip No Positive
211,bad, the staffs are not co operative no politeness and helping nature even after paying 350 euro per night no good hospitality No Positive
212,bad, Rooms no longer available because arrived at midnight Unbelievable Booking took money by the way Staff not willing to help and living us outside at midnight No Positive
213,neutral, Staff in the reception I hate how the talk with us they are not helpful only because I don t want to upgrade my room they give me bad room for single and we r two people Location
214,bad, the behavior of the reception staff unwillingness no help arrogance haughtiness and unfortunately differentiated approach to gender No Positive
215,bad, Very poor service not safe to stay staff are very rude to customers room is in poor condition never go there ever again No Positive
216,bad, Dirty room Place was good
217,bad, This is not a 4 star hotel 1 star b b would be pushing it totally deceptive photos will stay at the Hilton next time considering it s the same price  Nothing 
218,bad, Lifts not working Poor breakfast Very narrow staircase Reception in the restaurant Bizzare No Positive
219,bad, The rate too expensive if we compare it whith their services  The staf not smiley The staf very very poor And they gave us feeling like we are animes
220,bad, I found a mouse In My room And got Sick some kind of poisoning And the hotel couldn t care less about what happens as soon as left the hotel they started with emails about proof and not being possible Don t recommend at all No Positive
221,neutral, I thought I had booked the hotel near the Tower of London so was disappointed when we arrived The hotel location was quite a distance from any sightseeing places and with the ferry that takes you across the river finishing at midnight we felt like we were on a curfew Our rooms felt like loft conversions with slanted ceilings not great with a 6 4 husband and you could feel and even hear the springs in the mattress so no sleep for all the wrong reasons Our alarm went off on the final evening of our stay with no explanation whatsoever To top it all off the towel rail was positioned behind the bathroom door so sprang back every time you opened the door causing injury on the last day to my arm  The breakfast here was lovely and the rooms were clean 
222,neutral, the standard room was awfully small for 2 people but on description it says for 2 people we barely could fit 2 suitcases and the sink was too small the room doesn t have a window No Positive
223,bad, Our room was at the end of the hall and the wifi was not working at all None of our devices were able to connect since the signal was too weak Had I known this before I would have never booked this hotel The staff members didn t seem to care much about this and always lied about how they never had this problem before They offered us to switch rooms but the next day when I came down to do it they were always full I had to go down to the lobby to use the wifi which was a real inconvenience  Nothing
224,neutral, No wifi the first day and staff could not help to make it better Location was actually further than expected from the Arch of triumph That hotel took the initiative to upgrade our room following the wifi problem
225,bad, Hater ukjente fixe ekstrabetalinger Hate unknown ekstra COSTs claimed at check out 4 stars maybe 20 years agoNo Positive
226,bad, Very rude so didn t check in and just left after cancelling my booking  Nothing
227,good, The parking facility is a pighole The staff is sneaky and lazy  The interior design of the hotel is nice 
228,bad, Very dirhyyyyy Location
229,bad, Bad breakfast bad bed badly marked bathroom needs renovation no shampoo  Nothing
230,bad, The photographs displayed when booking makes the place look nice and modern however the rooms do not look like the photos and we had a hideous 80 s looking room I did not feel comfortable sleeping in this hotel that I did not even sleep in the bed I decided to pass out for 30 minutes on the tiny table whilst hanging my bottom off the end of the seat that was provided as you can imagine it wasn t comfortable doing this but I had no choice After being mislead I did not trust the cleanliness of the hotel and ended up leaving the hotel at 6am so I could go home and get some sleep I asked the receptionist to get the manager to give me and my partner a call as they were not in when we left but we still haven t received a call and we want a full refund for the horrendous night we had at this hotel The hotel is very confusing as well and didn t help the confusion with a wedding going on  Nothing 
231,bad, Very dirty Mold all over bath tub Towels are one set for two guests I have to ask for second face towel Carpet diary soiled Customer service very rude Management was not there to complain One of my group was with us given a duplicate key for a room was already occupied they open the door on a couple were in bed Just breakfast buffet but we paid for it it was not completely with the stay
232,bad, Everything room size location dirty rooms and bathrooms  Nothing at all
233,neutral, The service wasn t very good asked for pillows repeatedly didn t come room was not very clean bathroom extractor yuk no valances on the bed bases which were dirty holes in the walls cracks in the tiles tired furniture worn carpets etc  The parking outside is free on Sunday s
234,bad, Long list Location
235,bad, The staff didn t care about the customers taken for granted My partner and I got fleas from the bed clothes Everything was overpriced Never again 
236,bad, Truth and return my money back I am not happy because the hotel dosnt have air conditioning they have renovation the hotel so I Am very upset about booking com if you know that and not tell me about it and these hotel account me tow time with out any reason so you have to process the management very well and call or contact me to justify the problem I have thanks
237,bad, The problem has happened both times we stayed at the property hot water goes of in the middle of the night so in the morning it s a freezing shower also water completely turns off throughout the day around 2 3 times for 3 4 hours which means no water to use for making tea washing your face a the odd shower someone wants in the day all these are not possible Please check that the pillow covers have definitely been changed when you inspect them carefully you can see the hair gel the wax and in my experience some blood which I found when I turned the pillow over asking the reception to changes these is a night mare as they have the classical hotel excuse of cleaners are only available in the mornings sir No fridge very dusty the cleaners literally clean it so quick that upon a glance it looks clean but when you spend 5 minutes you can see how dirty the place really is not recommendable at all  It has a nice location of course being in Canary Wharf 
238,bad, No aircon No Positive
239,bad, The room breakfast the receptionist Nothing
240,neutral, Hotel Miles away from where we wanted thanks to booking com The oppwrsite side to London that I wanted Are booking Com only offering certain hotels as they get more money First room cramped twin beds small no bedside cabnets on one bed damp showing on celling Cord too short on kettle Spot lights on wall outside Second bedroom stairs upto bathroom not ideal bed extremely poor very uncomfortable Parking is for only two cars in a back yard I only have a medium size car and was hard to get in and out only 1 inch either side trip items like hovers left in a tight hall way Lift only to floor 3 Had better facilities in a travelodge Not what I would expect in a four star hotel Staff were great very helpful and friendly 10 out of 10 for that No charge for blue badge parking great 
241,bad, Everything Nothing
242,bad, Toilet flush didn t work we had to use the shower to flush air condition was as noizy as an average Boeing so impossible to use at night only 1 towel in a 2 person room Large room
243,bad, Blocked toilet Dirty room  Location
244,bad, Paper cups in a superior room no iron in the room uncomfortable bed and charged 10 to purchase a adapted plug I have stayed in many hotels and none have ever charged just lent these to me Very disappointed Modern reception area
245,bad, Housekeeping awful Location
246,bad, Very poor service wifi almost none exists breakfast not attractive at all  Location is not bad 
247,good, The Room was realy too small not confortable  Clean
248,bad, worst experience ever Never going to use any of the hotel in this group not worth a try at all  nothing
249,bad, No ac Travel with a 6 month old baby and was suffering our entire stay It was 37 degrees and no ac in the room No fan no help from stuff when we complain Horrible Location was good
250,bad, Door can not complete closed rooms also relatively small staff not friendlyNo Positive
251,bad, Everything Found comdom in my room room was not to its best condition was not happy
252,bad, There was a dripping tap in the sink The shower basin filled up and did not drain easily Some of the switches and electricity plugs were not secure No Positive
253,bad, Everything was poor Very uncomfortable beds They gave us a room with one bed when we checked in but we were a family of three Our teenager daughter was with us the purpose of this trip to celebrate her birthday I had to fight on a different room That was a bad start for us No Positive
254,bad, room breakfast cleanlinessNo Positive
255,bad, Rude personnel Personnel gave us a wrong room Did not want to admit their fault Trying to seem like we were wrong Finally when another colleague came we did get the correct room No apologies were made When we mentioned that the other colleague was rude We were told we were liars To get to the elevator you first have to use stairs Very inconvenient to be climbing stairs with your suitcases Also no hotelstaff offered to help with luggage We had to do it all by outself  Rooms were clean
256,bad, Black mould in the bathroom the bathroom facilities were quite dated and needed to be refurbished with quite a lot of dirt between the tiles Disappointed with the lack of cleanliness of the bathroom for a four star hotel The view from our window was a graveyard which although is not the worst thing in the world I would expect a bit a clarity that was a possibility when booking your stay Our major gripe was the poor service provided by the reception staff who were generally not helpful had absolutely no common sense and could not comprehend the concept of good communication or customer service The s standard response that was given to everybody with a request or a complaint was I will have to ask the manager After taking payment upon our arrival which we assumed was payment for our accommodation we were informed on check out this was in fact not the required payment for the room and we had to make another payment for the room The receptionist decide to cancel my previous transaction and request full payment rather than charge me the outstanding 8 Due to this I am currently unable to access to the initial payment of 200 as it is still allocated or within a shadow by my credit card provider Overall we were generally disappointed with our stay No Positive
257,bad, Terrible lifts breakfast in the exec club very good
258,bad, The TV and phone in my room was not working Despite several complain the hotel choose to ignore I end up changing my hotel for the rest of my stay No Positive
259,neutral, Poor service TV reception was very poorly tuned in Old worn out feel to decor furnishings Location was pretty good
260,bad, Poor service no water no kettle no Iron no coffee Tea powder kept asking them but no one bother to help over all worst hotel i even stayed Nothing
261,bad, I would never recommend anyone to stay in this hotel 1 Staff 0 knowledge and they never know how to charge the Pre authorization amount 2 for on shift supervisor i am going to complaint and escalate her to there higher management so that next time she wouldn t behave such behavior with anyone else and let management to give her some training about hotels 3 room are very very very very small you cant ever walk in the room 4 charging high price with 0 service 5 NEVER RECOMMEND TO ANYONE  Nothing to like in this hotel 
262,bad, Not a friendly welcoming at check in Got a room with very thin walls and a drunk arguing and partying couple next door that was very noisy between midnight and 7 o clock in the morning This ruined my sleep completely Breakfasts the next morning was also a disappointment when it comes to the quality of what was served Overall one of the worst hotel experiences I ve ever had No Positive
263,bad, Stuff are careless there forcing us to solve their problems with lack of cash in 6 a m while we we in a hurry to the airport Room was very dusty and furniture seemed to be quite old and rugged Wi Fi speed was also low  Only thing we liked is the appartment view on the city 
264,bad, Staff very poor in service No blankets at the hotel we slept with only sheetes to cover the kids Requested during the two nights but the answer that they don t have it I had a nother reservation at the same location which thankfully I cancelled  Location only
265,bad, Client can t turn off air conditioner the other one is very tall but taken to a room with small bed fell down to ground in the deep sleep Their bathrooms are not clean enough to stay compared with their past experiences in Hilton Said would send a solving e mail to us haven t received until now No Positive
266,bad, Everything Nothing
267,bad, The think size bed was very small and the room dirtyNo Positive
268,bad, I was told there s no room for me after confirmed my resevation a day before Even you have my contact no email no phonecall nothing How would you like if you travel one hours train and half hour taxi only want to rest and when you arrive your hotel no room Are you just expecting me enjoy the way you welcome and enjoy your happy culture Thank you for paying a taxi to take me to another hotel but this wont make me comfortable anymore Hope you can do better No Positive
269,bad, LocationNo Positive
270,bad, Electrics dangerous in our roomNo Positive
271,bad, Any possibility to speak with the management to ask if is possible change the date was a nightmare on the phone Was very unprofessional the receptionist to my question to change for the day after just look to keep the money no mattered if I mistake the reservation day just stolen money the hotel with no possibility to change for the day after never more
272,bad, It s run down needs to be totally refurbished and its dirty it s a disgrace maybe it was 4 10years ago but now it s 2 at best Booking com should not be selling it as 4 Hotel it s a disgrace to your company too if I could rate it lower I would  There is nothing about this hotel I liked
273,bad, 20 mins of free Internet in such a developed country is a shame Poor breakfast plastic apples Dirty carpet no slippers offered Plug adapters for GBP5No Positive
274,bad, When I arrived late in the evening they just told me they had given away the room put me into a taxi and sent me to another bad hotel in another part of town where I did not want to be but only after they forced me to pay the invoice for the room which I never saw which I had to accept because I did not have anywhere else to go They had my phone number and e mail so they could have asked me at any time if I were going to show up which by the way I always did every single time I booked there since I have an important client just mext door but they did not After very little sleep I had to get up earlier the next day and take a taxi which I obviously had to pay for myself to reach my client where I spent the rest of the day fighting against headaches and exhaustion courtesy of this appalling establishment  Nothing
275,good, Noise from trains in rooms at rear of hotel  Good location Great staff
276,neutral, The location was terrible and meant so much travel to get to any of the nice areas Unfortunately our room was very uncomfortable with a bad bed and pillows a smell from the air conditioning and was very small and dingy for over 125 night The worst part was the terrible value for money one of the worst hotels I ve stayed in for this Had a beautiful hotel in Girona the week after which was a fraction of the price but which gave such attention to the guests and their comfort unlike the Senator  They had an ice dispenser on our floor and a minibar of complementary drinks 
277,bad, Old musty smell and outdated carpets dirty bed sheets and dirty rusty bathroom Everything in the room was so worn it looks like it hasn t been replaced in 30 years  Very outdated horrible not even worth 2 
278,bad, All Nothing 
279,neutral, bathroom and room very basic not 4 equivalent good location
280,neutral, We were surprised to see bed n breakfast like service in such a big hotel brand and costly too There was no room service Even we need to go and buy water bottle also from Reception area At least a vending machine would have given the feel of descent bed n breakfast hotel but they were shamelessly selling the water bottles also from Reception Breakfast was also too simple Not worth spending so much money for just a brand Similarly Clean bed n breakfast would be available at fraction of cost No Positive
281,bad, The elevators were not working We were so dissapointed We do not expect that from this chain of hotels So we had to cancel our reservation and stay at another property  Nothing
282,neutral, I arrived late to be told had an upgrade to a room with a king size bed after the worlds slowest check in I opened my room door to find two twin beds I phoned reception to ask to be moved to a room with a double bed that I had booked Reception informed they had no more rooms available however they would make my twin beds into a double The lady on reception and a waiter arrived to make the bed It took them 45 minutes meaning I didn t get into my room until 10 30pm a night Check out was incredibly slow the lady on the desk took around 15 minutes to check people out  Not a lot bathroom was clean friendly barman
283,bad, It has a bed nothing more Not much
284,bad, We were placed in a smoking room on arrival despite our booking specifically stating that we had booked a non smoking room This room was disgusting dingy and it reeked of stale smoke Staff told us the hotel was fully booked and so we were unable to be moved that night We were also woken up by drilling at 8am  After the smoking room fiasco the manager was quick to change our room the next day 
285,good,No Negative No one 
286,bad, The rooms is very very bad the one they gave us we have a 4 months baby we could not put for him a bed because it s too small we could not let him sleep in our bed because it s a queen size We let him sleep on the floor imagine  Location only 
287,bad, Old Old hotel needs a restoration asap
288,neutral, For a hotel costing so much is I it really beyond them to be able to put a small bottle of water in a guests room When questioned I was told you have to be a holiday inn loyalty club member to qualify for a free bottle of water You cannot make it up Add 50 p per night I suggest to the already exorbitant room rate And include a comp bottle of water It won t burst your profit margin Water and add ons are replacing hat old profit centre of the past the hotel phone bill Mobiles put paid to that profit centre But it s been replaced with crazy high wi fi charges and paying for drinking water Scandalous This hotel not the only offenderNo Positive
289,bad, Everything Nothing
290,bad, Room very dirty No comment
291,bad, Every think this not for star hotel this 2 stars 
292,neutral, First of all we checked in and there was stains all over our bed sheets after unpacking we decided to get a shower and freshen up before going back out The drains made the smell of the bathroom almost unbearable My partner used the shower where we found the hook for the shower wasn t secure which made the actual shower head fall off and smack him in the face causing him to have a black eye Before we went out we passed this on to the staff who may I add was lovely young girl with dark hair she said she would look into getting the shower fixed and bed sheets changed we said we d see if the smell of the room had calmed down before we had to move as we had unpacked and we had little time to start with and loads we wanted to do We didn t arrive back while 3am the next morning and to our surprise the shower head was still in the same position unfixed the bedding was still stained but the smell of the drains had gone so we stayed in the room and decided we would mention it the next morning as it was late and been on the 11th floor it was a bit of an inconvenience having to go all way back down we where really disappointmented that the staff had made promises to them just ignore our requests When we went down stairs the next morning we mentioned it to the staff on reception who was really rude advising basically that she wasn t going to do anything because we didn t mention it last night as soon as we got back try going to the 11th floor at 3am and wanting to come back down we left it with her hoping something would get sorted Arrived back that evening still nothing had been done and also NO fresh towels and the smell of the drain was back As we where checking out the next morning we left it and decided we would right a complaint instead When we woke up the morning to pack there was a beetle type creature crawling in our bed sheets the same mucky stained ones wed litrally stripped of the bed and slept with only the pillow  The room and hotel was very modern and we where put on the top floor as requested despite having to walk up stairs due to lift not going all the way up we where told this when checked in so no problem 
293,neutral, 1 The staff are not friendly and they are not updated about the transportations Always they are asking us to walk to Domosola underground station and we discoverd their is new station across the road 2 The room is not well clean aafter the complain they started cleanig the rooms 3 Still they are usuing the old room key 4 OVer all the facilities below the standard No Positive
294,bad, Filthy room broken shower urine on the toilet seat and the room and bathroom smelt of sewage unfriendly staff and mis informed about car parking Rude and unpleasant over all  Nothing
295,bad,  Nothing
296,bad, Noisy Walls paper thin and the room was a club room Fridge that buzzed all night Bar staff accused me of not paying for my drink  Location
297,bad, 2 mattresses attached together makes the bed uncomfortable Dirty bath tub Business class is not a proper business classNo Positive
298,bad, As a longtime Booking com customer I have noticed that places are not always as good as the reviews lead one to believe however this place was so bad in every possible way I suspect the positive reviews cannot be true This motel is located in the middle of a sketchy neighborhood with nothing nearby I did not feel safe with my family Everything is 15 minutes away walking metro coffee a bite to eat everything The hotel is dark old and had an odor I could write in the dust on the top of the shelves One of our rooms smelled like sewage we complained to the front desk but the smell remained We overlooked the hotel back alley that was cluttered with junk and the staff was kind enough to wake us up talking loudly during their 6 30 am smoke break The beds looked normal until you sat on them several inches of mattress would suddenly disappear under the lightest compression I had back problems for weeks after the visit and had to visit a physician Unfortunately in the rush to leave with three small children we left our Amazon Kindle in the room We noticed it missing as soon as we got to the airport Called the hotel and explained the exact location where it would have fallen between the bed and wall and followed up with several detailed emails Of course the device was never found in the room This horrible experience does not even consider the fact that when my mother was in an accident and couldn t fly we had to fight to get the dates changed until after her recovery I understand no refunds but this should have been an easy exception and they kept the money for the additional day we did not use when we re booked It was just a horrible place all around Not only will I avoid the brand at all costs in the future but I now feel that I can no longer trust Booking com and I will not be using them in the future  The staff at the front counter was courteous but it was a minimum effort and the least of what you would expect here in London 
299,bad, It was like an overpriced hostelNo Positive
300,bad, Dirty poor staff service  Very poor hotel only two star 
301,bad, To simplify it is a 3 star hotel at best We will not be using the Hilton group again Location
302,neutral, 1 Pretentious Hispter vide no substance 2 Overpriced 260 per room per night for two people with no breakfast 3 Uncomfortable one soft pillow per person we had to ask twice to get another pillow and only a wooden stool in the room not a chair in sight 4 Dark rooms lampshade covered with knitted cloth not removable 5 Location although location is at the Museum Quarter the area is not interesting or alive shops bars restaurants etc in the evening 6 Security The hotel has a bar at the top and although this is nice as an option given the area random people were going up and down the elevator who also had access to the hotel floors  Breakfast selection lactose and gluten catering 
303,neutral, When we arrived and got our room it was a big chunk of hair in the shower I went to the reception and told them this and they said they would arrange it It was in the shower during out whole stay Room wasnt very clean either and we found hair basicly everywhere They could use a vacuumcleaner During our stay they only cleaned the room once Wifi really bad to Sometimes it worked and sometimes not and when it worked it was very slow No Positive
304,neutral, difficult to reach with public transport only one bus line The hotel looks worn out and run down Food in the local restaurant was really bad and expensive Breakfast was not included and WIFI cost 9 EUR for a day which works only for one device and sometimes the access code gets invalid and you have to ask the Reception for a new one All in all one of the worst hotels i have stayed in I can t fathom how they can have more than 2 stars  room was ok
305,neutral, I was given standard room aka Closet room smaller than a cruise ship cabin but I had booked a superior room I had to call booking com to correct this dishonest downgrade AC didnt work even though hotel description says it has AC in every room Shower licked into the bathroom creating a mess Breakfast beyond mediocre 8 floor building with one minuscule elevator installed in 1972  Location 
306,bad, I booked this night for my birthday and I had the worst birthday ever the staff did not explain anything properly so I was over charged I am allergic to cheese and my food had cheese in it even though I said remove the cheese On the website there is a lot of false advertising Was not happy at all this was one of the worst birthdays I ve ever had  The cleanliness
307,bad, I found fleas and ants in my bed Nada
308,bad, We had to request for the bed sheet to be changed And the breakfast was horrible my wife asked for a boil egg and she is still waiting Nothing
309,bad, Very discourteous staff except people at the front desk Rooms too small Beds uncomfortable Housekeeping and service staff rude The lobby and front desk staff were very helpful
310,bad, horrible design poor housekeeping just rubbish really location
311,good,No Negative the breakfast is very good
312,bad, Far from Tube and Centrum Really old Hotel it should to be totally refurnished all is really old and overused Breakfast 13 50 pp wifi 24h 14 They ripp you really off My Room was 189 instead 440 but it worths never this amount Staff is not friendly and not helpful they wants only your money  Nothing was really good
313,bad, We booked the hotel 2 months in advanced with a cancelation option When we found a better we were unable to cancel this booking We even contacted Apex directly but there were not willing to help At the time we got at the hotel we were put in a very dirty room The blankets were covered in human fluids We reported this at the hotel staff and got an new room This free upgrade room was very old and dirty The bathroom was covered in mold and it was very dusty in the room with no ventilation Staff is not friendly too We will never go back  Location was good near the London Tower 
314,bad, The rooms are very old fashioned It stank of stale cigarettes It was dusty and the bed sheets were stained Was surprised as its a 4 star would rather pay a bit exta for somewhere nicer needs a revamp The view and room service was good
315,bad, Condescending rude unfriendly unhelpful and unwelcoming staff They make you feel like they were doing you a favour They deliberately gave me their worst room and were unwilling to change it the first night They are happy to toss you around until you get frustrated and quit  Proximity to the station and Ann at the restaurant and Serth at the reception were helpful when approached 
316,bad, we slept the first night in a noisy room the second night we asked for a room change The room change was so a big pain and the second room was really ugly would never be a 1 star room they charger 50 euro the night for the car and an extra omelette did cost 14 euroNo Positive
317,bad, Room was freezing window wide open when we got there safe in the room was broken reported it 4pm on Friday still not fixed by the time we left Sunday had to go around all weekend with passports on us It was raining all weekend and when we went back to the hotel room you couldn t even warm up as there s no heating working We will never use again Nothing
318,neutral, Cleanliness of the room was disgusting Drink in the room was finished while we were out Staff not helpful Asked 6 times for extra cups and didn t receive it Asked for ice to the room and never received it Plug in the bathroom didn t work Hairdryer was so slow it would be quicker to hang your head outside Location
319,bad, Old hotel Old facilities No Positive
320,bad, If you like hotels in an unnerving area with a room temperature of the Sahara or the north poll as the only options then this is the place for you No Positive
321,bad, a very bad management unhelpful no thing ugly hotel
322,neutral, Everything about the hotel was not nice from the staff to the room and tiny lift The bathroom was dirty and the rooms are too small as are the bathrooms Noisy hotel and very expensive Wifi unreliable  The location
323,good, Very poor condition No facilities Definitely bad value good location
324,neutral, The room was very tired The bathroom was poor and needed renovating Old shower curtain sink cracked and very disappointing No bar in the evening as they run a TV show from the hotel  The breakfast was OK
325,bad, Arrogant staffNo Positive
326,neutral, The main entrance is not easy to find and it s separated into 2 buildings The conceiage is a very small counter The room and lobby are all very small with a old building smell Poor facilities All the pictures on site are taken in wide angle It s not cost for money and there should be lots of choice is more convenience location with much better services facilities and environment I m very disappointed No Positive
327,bad, Very Late check in and early check out Nothing
328,bad, I made a reservation for a week and then I had to cancel the penalty for cancelling was the whole amount of seven nights which is unheard of No Positive
329,bad, I have asked a double bed but the room had 2 twin beds pushed together and it was not comfortable to sleep  Room size
330,bad, It s not good hotel for staying  Nothing
331,neutral, Better training for staff as they were not welcoming and too busy with their tasks Better maintenance for the building one of the lifts was frequently broken the shower water pump mad a loud noise Had towels with holes in it Need a lot of improvement to be 5 star It was very very poorNo Positive
332,good, No bad experiences  I would stay there again The staff are extremely friendly 
333,bad, Unfriendly staff Rooms are run down Location
334,neutral, Price was a rip off 320 for a Saturday night compared to the normal rate of 190 just because there was an event on a Wembley I understand the supply and demand however when there is not enough staff to cope with serving drinks at the bar and getting simple food out quickly is beyond the kitchen then this is pure profiteering I was promised a senior manager would call to discuss my grievances still waiting Shame on you Holiday Inn  Location for an event at Wembley Stadium is excellent
335,bad, Nothing Horrible hotel rooms and staff
336,bad, Dirty water in spa pool Mildew on tiles Faulty bathroom keeping us awake horrific noise  Comfy bed
337,neutral, Maybe because I booked over Bookings com I felt being put away in the servant room Old fashioned water and toilet pipes noise from the rooms above located directly next to the bed s end will wake you up all during the night Mattress extreme hard room not good isolated from street noise Glass ready to drink some water was extremely dirty looked like wiped off with a cleaning cloth they used to clean the rest I forgot the rest and enjoyed a wonderful night at another hotel in Milan it s possible  near the train station as many other hotels
338,good,No Negative It was comfortable convenient to airport and free shuttle available clean 
339,neutral, Very poorly managed hotel Carpet was dirty in the lobby with stains very visible at all places My toilet seat was broken and flush didnt work properly Shower didnt have much pressure in it The bed was wobbly and even my 1yr old son can push it to move With this big 5star hotel you would at least expect a free Wifi but NO Podium restaurant was awful Flies around our food all the time Uncomfortable chair to sit on while eating food The staff is untrained and the waitress kept spilling water over the table whenever she served water  Just the view and to be honest NOTHING ELSE Absolutely NOTHING ELSE 
340,bad, We were put into the Park Grand paddington as the grand royale had a water problem We had paid for a superior double but our room was so small we couldn t even stand up next to each other in it A truly awful hotel  free wifi
341,bad, Poor comfort no airconditioning no air in the room smell of urine in the roomNo Positive
342,bad, Big failure they only need money I didn t receive my room keys until i pay as advance my stay Moreover they cut from my credit card twice an amount of 200 I wil assing this case legallyNo Positive
343,bad, Stayed at London s Hilton four weeks ago free wifi Stayed two weeks ago at Budapest s Hilton free wifi But in Vienna s Hilton you have to pay for internet access Even Starbucks around the corner provide free wifi Unacceptable for a 5star hotel No Positive
344,bad, Everything about this hotel apart from location was absolutely DIRE Poor noise insulation so we heard anyone everyone moving in the hotel and returning back at night the floors were laminated poor noisy quality the decor was cringe worthy and the breakfast was 4th rate Avoid if you want to have a quality time The so called pool really Forget  Location was good
345,bad, Far from everything horrible staff false economy Nothing
346,bad, The beds no working air con no Opening windows horrible decor huge amount of construction work right outside the Hotel with no attempt at warning the guests Miserable staff No information offered on check in No interest when complaint made  It was near the 02
347,bad, The room smelt of gas Shower did not have water No one helped us Nothing
348,bad, I am sure you are aware it was not in keeping with your standards or of the media pictures The hotel appointments and surrounding area were substandard Sad I have stayed in best westerns Most recently in Nanaimo and Halifax They were far superior to this location I worried about my personal safety and hotel room security  Not much Stay away 
349,good, Service cleaning fixing the room Only room size is good
350,bad, Everything wouldn t let me stay and wouldn t give me my money back  Nothing
351,bad, Very bad service from the staff I have ever seen Expensive in compare to other hotels with less facilities and poor restaurant Nothing
352,bad, Ignorance  Nothing
353,bad, Being given an appalling single room when I had booked and paid for a double Not being allocated a room when I had booked 2 weeks before The rubbish from your automatic text machine  Good breakfast
354,bad, I was taken to a room with very small windows facing a construction site I assume all west rooms are facing that construction Since noise was getting to the room even with the windows closed I asked to move to another room Staff advised me to keep that room since the noise was only from 8 am to 5 pm I kindly insisted and was given another room facing the opposite street I SPENT FOUR EVENINGS ASKING to have the air con fixed For four eveneings the hotel said they could solve the problem right away from the reception only to find out by chance that the air con of my room was broken all along and I had been made a fool the rooms facing east have street noise so you must keep the windows closed horrible experience I felt really disrespected as a customer  Great Location Nothing else 
355,bad, I would have liked the 2 beds I paid for instead of the 1 I got I would have liked my teammate not to have to sleep on the floor when we were competing at the O2 arena the next day No Positive
